fundcode,fundname,holders
000381,景顺长城景益货币B,https://j6.dfcfw.com/charts/StockPos/000381.png?rg=NaN
000385,景顺长城景颐双利债券A,https://j6.dfcfw.com/charts/StockPos/000385.png?rg=NaN
000386,景顺长城景颐双利债券C,https://j6.dfcfw.com/charts/StockPos/000386.png?rg=NaN
000389,广发天天红货币A,https://j6.dfcfw.com/charts/StockPos/000389.png?rg=NaN
000390,华商优势行业混合A,https://j6.dfcfw.com/charts/StockPos/000390.png?rg=NaN
000394,融通通源短融债券A,https://j6.dfcfw.com/charts/StockPos/000394.png?rg=NaN
000395,汇添富安心中国债券A,https://j6.dfcfw.com/charts/StockPos/000395.png?rg=NaN
000396,汇添富安心中国债券C,https://j6.dfcfw.com/charts/StockPos/000396.png?rg=NaN
000397,汇添富全额宝货币A,https://j6.dfcfw.com/charts/StockPos/000397.png?rg=NaN
000398,华富灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000398.png?rg=NaN
000402,工银纯债债券A,https://j6.dfcfw.com/charts/StockPos/000402.png?rg=NaN
000403,工银纯债债券B,https://j6.dfcfw.com/charts/StockPos/000403.png?rg=NaN
000404,易方达新兴成长灵活配置,https://j6.dfcfw.com/charts/StockPos/000404.png?rg=NaN
000406,汇添富双利增强债券A,https://j6.dfcfw.com/charts/StockPos/000406.png?rg=NaN
000407,汇添富双利增强债券C,https://j6.dfcfw.com/charts/StockPos/000407.png?rg=NaN
000408,民生加银城镇化混合A,https://j6.dfcfw.com/charts/StockPos/000408.png?rg=NaN
000409,鹏华环保产业股票,https://j6.dfcfw.com/charts/StockPos/000409.png?rg=NaN
000410,益民服务领先混合A,https://j6.dfcfw.com/charts/StockPos/000410.png?rg=NaN
000411,景顺长城优质成长股票A,https://j6.dfcfw.com/charts/StockPos/000411.png?rg=NaN
