SH,688676,-0.59,31242,31242
SZ,002555,-0.6,31239,43537
SZ,000786,-0.58,31087,31321
SH,600562,-0.94,31009,31009
SH,600563,0.17,30929,30929
SZ,000876,-1.28,30870,30889
SZ,000967,-2.02,30823,30837
SZ,002378,-2.38,30762,30924
SH,600801,-0.64,30671,47526
SH,600348,-1.16,30483,30483
SH,688235,-1.5,30482,408598
SH,600863,-1.26,30481,36590
SZ,000800,-0.95,30411,30414
SH,600871,0.9,30345,42464
SZ,301511,3.54,30341,51050
SH,600282,-1,30271,30271
SZ,000027,-0.46,30162,30162
SH,688617,1.36,30085,30085
SZ,000883,-0.85,29936,32707
SH,688362,0.7,29935,29935
SH,688266,0.69,29909,29909
SZ,300489,6.62,29862,29972
SZ,002673,-0.59,29857,29857
SH,600332,-0.88,29805,34467
SZ,000661,-0.84,29775,30395
SZ,300339,-1.23,29708,30423
SH,688568,-0.13,29665,29665
SH,688387,3.53,29606,50187
SH,600699,-0.32,29602,32892
SZ,002025,-0.49,29583,29593
SZ,000060,0.91,29533,29534
SZ,000958,-0.89,29501,100375
SH,600483,-0.55,29470,29470
SZ,002939,-0.48,29398,32921
SH,688213,-0.7,29375,36529
SH,600428,0,29343,32927
SZ,002472,0.13,29337,33311
SH,603127,0.99,29327,35010
SH,603198,-0.78,29272,29272
SZ,002859,0.49,29185,30911
SZ,000629,-0.31,29079,29081
SH,688318,-1.68,28994,28994
SH,600398,-0.82,28865,28865
SH,600517,-0.58,28821,28821
SH,688385,0.21,28766,43929
SH,603338,0.07,28710,28710
SH,688301,0.07,28680,28680
SH,600737,4.45,28639,28639
SH,600663,0.11,28622,45669
SZ,301396,1.23,28593,43428
SH,688052,-0.55,28592,32598
SH,601933,-0.61,28560,28560
SZ,002240,0.45,28538,28612
SH,601990,-0.43,28522,29653
SH,601001,-4.21,28503,28503
SH,603766,-1.2,28421,28421
SH,600259,-0.74,28375,28375
SH,688167,3.83,28193,28193
SH,688180,-0.61,28150,37710
SZ,300628,-2.44,28077,49004
SZ,002222,0.69,28070,28196
SZ,002180,4.52,27995,29262
SZ,300347,-0.59,27944,42474
SH,601000,-0.62,27911,27911
SZ,000981,-2.65,27874,29293
SZ,000959,-0.79,27869,29004
SH,603823,0.15,27855,27855
SH,688411,-0.38,27841,38316
SH,600777,0.23,27820,29718
SZ,300458,-0.49,27805,33933
SZ,002245,1.82,27794,29542
SH,688333,0.55,27734,27734
SH,603179,-0.22,27675,27675
SZ,002797,-0.9,27526,27526
SZ,002608,-0.54,27504,27504
SH,600079,0,27484,29070
SH,600312,-1.02,27478,27478
SZ,002747,0.57,27392,33883
SH,688169,-0.14,27372,27372
SH,600637,-0.6,27366,27366
SH,603444,-1.01,27348,27348
SH,600369,-0.47,27311,27311
SH,600499,-1.1,27310,27310
SH,600536,-1.21,27309,30227
SZ,000737,1.2,27254,27256
SH,688297,-0.97,27196,27196
SZ,000877,-0.51,27162,27162
SH,603939,-0.57,27085,27085
SH,688248,-0.47,27077,27077
SH,600330,1.34,27062,27062
SZ,300432,1.14,27000,27305
SZ,000962,-0.47,26970,28272
SH,688102,0.03,26947,27025
