股票代码,名称,流通市值,市值分位
600867,通化东宝,158.84,2
301069,凯盛新材,77.8,1
560,我爱我家,48.41,1
603001,奥康国际,29.03,1
2983,芯瑞达,30.98,1
605555,德昌股份,60.32,1
300672,国科微,507.73,3
600559,老白干酒,102.45,2
301211,亨迪药业,48.65,1
603683,晶华新材,87.91,1
603867,新化股份,68.29,1
301510,固高科技,91.9,2
300446,航天智造,62.09,1
601866,中远海发,226.25,2
300151,昌红科技,80.23,1
688063,派能科技,115.86,2
2252,上海莱士,301.74,2
605198,安德利,159.64,2
300101,振芯科技,92.99,2
778,新兴铸管,141.72,2
300435,中泰股份,75.84,1
600131,国网信通,174.6,2
3021,兆威机电,179.87,2
688563,XD航材股,59.55,1
2251,步步高,75.12,1
2860,星帅尔,56.14,1
612,焦作万方,119.34,2
600586,金晶科技,60.8,1
601118,海南橡胶,211.4,2
301031,中熔电气,122.08,2
2269,美邦服饰,32.34,1
301002,崧盛股份,31.84,1
600332,白云山,299.31,2
2053,云南能投,86.46,1
301151,冠龙节能,38.8,1
2639,雪人集团,83.05,1
600101,明星电力,43.45,1
422,湖北宜化,139.85,2
603682,锦和商管,41.01,1
603626,科森科技,94.39,2
601728,中国电信,4378.32,4
603392,万泰生物,363.39,2
600877,电科芯片,200.46,2
27,深圳能源,286.39,2
605196,华通线缆,122.81,2
300095,华伍股份,28.97,1
300124,汇川技术,1528.86,4
603833,欧派家居,197.0,2
688168,安博通,64.3,1
534,万泽股份,146.29,2
603559,中通国脉,35.23,1
600726,华电能源,463.47,2
300617,安靠智电,66.49,1
603108,润达医疗,56.77,1
603135,中重科技,80.77,1
2427,尤夫股份,42.73,1
2256,兆新股份,69.29,1
688165,埃夫特-U,104.15,2
300036,超图软件,50.07,1
301349,信德新材,57.08,1
301589,诺瓦星云,51.04,1
600271,航天信息,127.11,2
688180,君实生物-U,288.16,2
601015,陕西黑猫,62.09,1
2468,申通快递,236.6,2
603527,众源新材,32.43,1
688378,奥来德,123.47,2
300581,晨曦航空,55.84,1
601677,明泰铝业,190.1,2
2985,北摩高科,87.24,1
600868,梅雁吉祥,48.02,1
2779,中坚科技,124.36,2
2845,同兴达,38.94,1
2597,金禾实业,111.12,2
601800,中国交建,696.34,3
2410,广联达,132.36,2
301127,武汉天源,117.86,2
603800,洪田股份,175.51,2
300137,先河环保,90.37,2
301115,联检科技,48.91,1
688093,世华科技,85.77,1
2701,奥瑞金,117.64,2
300863,卡倍亿,136.01,2
688061,灿瑞科技,58.66,1
2655,共达电声,133.79,2
605399,晨光新材,41.68,1
2457,青龙管业,52.52,1
300969,恒帅股份,78.42,1
2023,海特高新,85.72,1
605319,无锡振华,85.96,1
603004,鼎龙科技,13.36,1
2531,天顺风能,135.08,2
2171,楚江新材,190.42,2
2583,海能达,105.7,2
2745,木林森,136.63,2
688173,希荻微,74.72,1
603726,朗迪集团,60.39,1
727,冠捷科技,105.54,2
688056,莱伯泰科,34.99,1
600531,豫光金铅,163.01,2
601187,厦门银行,186.44,2
723,美锦能源,148.12,2
300700,岱勒新材,55.69,1
605318,法狮龙,114.14,2
600292,电投水电,53.2,1
400,许继电气,205.27,2
688484,南芯科技,189.33,2
603337,杰克科技,176.23,2
688667,菱电电控,59.42,1
898,鞍钢股份,151.99,2
601106,中国一重,209.85,2
2262,恩华药业,176.22,2
2345,潮宏基,87.24,1
600037,歌华有线,88.38,1
300640,德艺文创,13.73,1
892,欢瑞世纪,29.86,1
600926,杭州银行,1097.5,4
