股票代码,名称,流通市值,市值分位
688578,艾力斯,553.23,3
300153,科泰电源,76.11,1
981,山子高科,260.67,2
603162,海通发展,42.69,1
301123,奕东电子,173.15,2
960,锡业股份,599.76,3
2606,大连电瓷,57.7,1
300593,新雷能,123.24,2
600536,中国软件,247.36,2
600129,太极集团,91.43,2
688261,东微半导,107.46,2
601231,环旭电子,725.28,3
688456,有研粉材,112.99,2
600196,复星医药,496.79,2
688375,国博电子,673.56,3
300249,依米康,63.26,1
688507,索辰科技,102.41,2
688383,新益昌,155.87,2
2446,盛路通信,89.19,1
2274,华昌化工,54.02,1
1896,豫能控股,218.49,2
300627,华测导航,189.61,2
600345,长江通信,130.91,2
603270,金帝股份,21.95,1
688153,唯捷创芯,138.66,2
601868,中国能建,826.93,3
603267,鸿远电子,141.47,2
603212,赛伍技术,50.4,1
2303,美盈森,43.8,1
603882,金域医学,113.29,2
301188,力诺药包,122.34,2
688543,国科军工,100.12,2
601778,晶科科技,147.43,2
923,河钢资源,82.57,1
1298,好上好,87.27,1
2183,怡 亚 通,125.95,2
301312,智立方,78.59,1
603712,七一二,98.89,2
300735,光弘科技,173.83,2
300760,迈瑞医疗,1714.98,4
300689,澄天伟业,74.87,1
688636,智明达,71.3,1
688660,电气风电,114.67,2
2428,云南锗业,654.73,3
601858,中国科传,147.67,2
600592,龙溪股份,58.14,1
301517,陕西华达,49.52,1
301319,唯特偶,180.5,2
62,深圳华强,329.25,2
601166,兴业银行,3667.52,4
600221,海航控股,574.13,3
300777,中简科技,120.18,2
600000,浦发银行,3017.51,4
300070,碧水源,118.16,2
3020,立方制药,31.59,1
600170,上海建工,202.6,2
688150,莱特光电,219.57,2
300953,震裕科技,219.65,2
605289,罗曼股份,190.6,2
688279,峰岹科技,213.32,2
2989,中天精装,61.84,1
688498,源杰科技,1977.33,4
601838,成都银行,805.3,3
2219,新里程,64.78,1
600023,浙能电力,724.07,3
301529,福赛科技,71.01,1
600585,海螺水泥,684.35,3
600415,小商品城,557.68,3
300607,拓斯达,130.17,2
603223,恒通股份,96.84,2
603211,晋拓股份,102.96,2
688001,华兴源创,303.59,2
2975,博杰股份,165.92,2
600737,中粮糖业,262.65,2
300455,航天智装,163.69,2
2340,格林美,331.97,2
688598,金博股份,90.59,2
600666,奥瑞德,91.83,2
766,通化金马,159.39,2
600219,南山铝业,468.54,2
651,格力电器,2112.17,4
603,盛达资源,150.68,2
301362,民爆光电,58.15,1
300481,濮阳惠成,49.05,1
2440,闰土股份,92.55,2
300251,光线传媒,353.86,2
600501,航天晨光,67.64,1
601137,博威合金,175.73,2
878,云南铜业,305.35,2
895,双汇发展,809.59,3
600580,卧龙电驱,524.14,3
799,酒鬼酒,128.85,2
300118,东方日升,101.76,2
625,长安汽车,587.8,3
601998,中信银行,2914.55,4
300121,阳谷华泰,50.11,1
2444,巨星科技,342.64,2
605598,上海港湾,90.89,2
2536,飞龙股份,287.66,2
601916,浙商银行,592.47,3
301516,中远通,14.49,1
600637,东方明珠,274.33,2
600513,联环药业,44.22,1
688550,瑞联新材,92.58,2
603301,振德医疗,230.34,2
688699,明微电子,80.19,1
300872,天阳科技,67.44,1
688090,瑞松科技,145.83,2
688710,益诺思,70.62,1
300322,硕贝德,97.86,2
600674,川投能源,715.1,3
605178,时空科技,100.62,2
600293,三峡新材,32.37,1
601100,XD恒立液,1488.45,4
688545,兴福电子,202.3,2
301596,瑞迪智驱,25.83,1
600855,航天长峰,64.63,1
2157,正邦科技,231.29,2
301382,蜂助手,96.91,2
300434,金石亚药,40.92,1
600482,中国动力,749.66,3
2142,宁波银行,2026.03,4
300496,中科创达,221.37,2
300775,三角防务,118.29,2
600363,联创光电,153.8,2
603017,中衡设计,27.26,1
300397,天和防务,50.94,1
600941,中国移动,812.31,3
600352,浙江龙盛,387.8,2
688601,力芯微,75.47,1
300063,天龙集团,53.25,1
600029,南方航空,688.67,3
600800,渤海化学,35.62,1
600699,均胜电子,292.01,2
603286,日盈电子,62.38,1
601133,柏诚股份,189.15,2
688480,赛恩斯,80.07,1
301150,中一科技,149.94,2
600905,三峡能源,1069.18,4
301626,苏州天脉,164.7,2
1331,胜通能源,176.39,2
2346,柘中股份,85.52,1
301367,瑞迈特,44.13,1
987,越秀资本,405.58,2
300045,华力创通,91.39,2
688418,震有科技,94.35,2
300725,药石科技,77.6,1
600660,福耀玻璃,1017.32,4
603556,海兴电力,111.35,2
601665,齐鲁银行,364.92,2
601933,永辉超市,285.6,2
301018,申菱环境,338.14,2
2640,跨境通,45.36,1
995,皇台酒业,17.69,1
682,东方电子,161.68,2
600188,兖矿能源,1082.58,4
688653,康希通信,51.58,1
2479,富春环保,41.95,1
2163,海南发展,66.05,1
